Size        Rss         Pss         Clean       Dirty       Clean       Dirty       Swap        SwapPss     Counts      Category                         Name
24          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libasset_sdk.z.so
68          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libasset_sdk_ffi.z.so
496         44          1           0           44          0           0           0           0           4           .so                              /system/lib64/libaudio_client_idl_interface.z.so
100         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libaudio_engine_plugins.z.so
592         64          2           0           64          0           0           0           0           4           .so                              /system/lib64/libaudio_policy_client_idl_interface.z.so
88          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libaudio_schedule.z.so
184         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libauto_fill_extension.z.so
1064        28          0           0           28          0           0           0           0           4           .so                              /system/lib64/libav_codec_media_engine_modules.z.so
128         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libav_codec_service_dfx.z.so
36          8           0           0           8           0           0           0           0           4           .so                              /system/lib64/libav_codec_service_utils.z.so
180         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libavplayer.so
260         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libbms_ani_common.z.so
172         160         6           148         12          0           0           0           0           4           .so                              /system/lib64/libbundle_ndk.z.so
128         20          0           0           20          0           0           0           0           4           .so                              /system/lib64/libcaller_info_query_extension.z.so
1180        60          1           0           60          0           0           0           0           4           .so                              /system/lib64/libcamera_napi_base.z.so
808         88          3           0           88          0           0           0           0           4           .so                              /system/lib64/libcamera_utils.z.so
136         68          4           56          12          0           0           0           0           4           .so                              /system/lib64/libcodec_proxy_4.0.z.so
1612        88          3           0           88          0           0           0           0           4           .so                              /system/lib64/libcollaboration_rcp_native.z.so
36          24          0           12          12          0           0           0           0           4           .so                              /system/lib64/libcolor_manager.z.so
52          24          0           16          8           0           0           0           0           4           .so                              /system/lib64/libcolor_space_object_convertor.z.so
72          40          2           28          12          0           0           0           0           4           .so                              /system/lib64/libconcurrent_task_client.z.so
260         16          0           0           16          0           0           0           0           4           .so                              /system/lib64/libcontent_embed_document.so
176         24          0           0           24          0           0           0           0           4           .so                              /system/lib64/libcontent_embed_extension.z.so
564         36          1           0           36          0           0           0           0           4           .so                              /system/lib64/libcups.z.so
544         24          0           0           24          0           0           0           0           4           .so                              /system/lib64/libdatashare_ani_rs.so
176         12          0           0           12          0           0           0           0           4           .so                              /system/lib64/libdatashare_jscommon.z.so
5824        192         6           64          128         0           0           0           0           4           .so                              /system/lib64/libddgr.z.so
168         36          1           0           36          0           0           0           0           4           .so                              /system/lib64/libdevice_cert_mgr_sdk.z.so
